2025-09-20 12:51:24 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:24 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:54:51 | handlers | DEBUG | -1003065205593 | Функция inventory_command() выполнена
2025-09-20 13:00:27 | handlers | DEBUG | -1003065205593 | Функция inventory_command() выполнена
2025-09-20 13:00:46 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:00:47 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:49 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:53 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:54 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:54 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:54 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:55 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:59 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:59 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:01:00 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:01:00 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:01:00 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:01:05 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:02:47 | handlers | DEBUG | -1003065205593 | Функция inventory_command() выполнена
2025-09-20 13:03:42 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-20 13:03:43 | handlers | DEBUG | -1003065205593 | 2 | Выбрана профессия: Землепашец
2025-09-20 13:03:43 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-20 13:03:45 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:03:51 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
